name,lat,lon,address,type
Central Co-op,47.61547934,-122.3110575,1600 East Madison Street 98122,Supermarkets
Fred Meyer,47.69192389,-122.3590442,100 Northwest 87th Street;Northwest 85th Street 98117,Supermarkets
PCC,47.6835377,-122.3440942,7504 Aurora Avenue North 98103,Supermarkets
Thriftway,47.54447738,-122.3862101,4205 Southwest Morgan Street 98136,Supermarkets
Albertsons,47.64247225,-122.3979239,,Supermarkets
Metropolitan Market,47.65528015,-122.4004521,3830 34th Avenue West 98199,Supermarkets
QFC,47.64947282,-122.3778591,1600 West Dravus Street 98119,Supermarkets
Fred Meyer,47.66025346,-122.3683997,915 Northwest 45th Street 98107,Supermarkets
QFC,47.70939606,-122.3172654,11100 Roosevelt Way Northeast 98125,Supermarkets
Safeway,47.69020556,-122.3761123,8340 15th Avenue Northwest 98117,Supermarkets
Metropolitan Market,47.58198631,-122.3848064,2320 42nd Avenue Southwest 98116,Supermarkets
Safeway,47.53747211,-122.2830397,3900 South Othello Street 98118,Supermarkets
Safeway,47.66208947,-122.2951087,3020 Northeast 45th Street 98105,Supermarkets
Safeway,47.68260884,-122.2893868,7340 35th Avenue Northeast 98115,Supermarkets
Safeway,47.57984068,-122.3860331,2622 California Avenue Southwest 98116,Supermarkets
Safeway,47.51666566,-122.366718,9620 28th Avenue Southwest 98126,Supermarkets
Safeway,47.61801642,-122.3035139,2201 East Madison Street 98122,Supermarkets
Safeway,47.52101225,-122.2680428,9262 Rainer Avenue South 98118,Supermarkets
Safeway,47.62356756,-122.3577138,516 1st Avenue West 98119,Supermarkets
Safeway,47.7180099,-122.3119714,12318 15th Avenue Northeast 98125,Supermarkets
Safeway,47.62046757,-122.3131384,1410 East John Street 98112,Supermarkets
Safeway,47.68194302,-122.3169679,7300 Roosevelt Way Northeast 98115,Supermarkets
Safeway,47.56927015,-122.2879322,3820 Rainier Avenue South 98118,Supermarkets
Safeway,47.66828529,-122.3742636,1423 Northwest Market Street 98107,Supermarkets
Safeway,47.5596032,-122.3849212,4754 42nd Avenue Southwest 98116,Supermarkets
Safeway,47.74096753,-122.3435947,15332 Aurora Avenue North 98133,Supermarkets
Metropolitan Market,47.66822809,-122.2836379,5250 40th Avenue Northeast 98105,Supermarkets
Town & Country,47.66985416,-122.374174,1400 Northwest 56th Street 98107,Supermarkets
Hilltop Red Apple Grocery Store,47.57898156,-122.3129113,2701 Beacon Avenue South 98144,Supermarkets
QFC,47.6618392,-122.335946,4500 Wallingford Avenue North 98103,Supermarkets
Leschi Market,47.60187738,-122.2856677,,Supermarkets
Marketime,47.66049648,-122.3496415,4416 Fremont Avenue North 98103,Supermarkets
Grocery Outlet,47.69292085,-122.3759076,8700 15th Avenue Northwest 98117,Supermarkets
Fred Meyer,47.72400852,-122.2917766,13000 Lake City Way Northeast 98125,Supermarkets
Bert's Red Apple Market,47.63481753,-122.2799767,1801 41st Avenue East 98112,Supermarkets
QFC,47.70193372,-122.3636646,9999 Holman Road Northwest 98117,Supermarkets
Grocery Outlet,47.61233813,-122.2955065,1126 Martin Luther King Junior Way 98122,Supermarkets
Trader Joe's,47.56191999,-122.3810582,4545 Fauntleroy Way Southwest 98126,Supermarkets
Sprouts Farmers Market,47.72354512,-122.3429996,13010 Aurora Avenue North 98133,Supermarkets
QFC,47.52205218,-122.3659312,2500 Southwest Barton Street 98126,Supermarkets
Dominic's Red Apple Market,47.51572615,-122.3147791,9627 Des Moines Memorial Drive South 98108,Supermarkets
Grocery Outlet,47.49633842,-122.2484301,11656 68th Avenue South 98178,Supermarkets
PCC,47.66186407,-122.3756287,1451 Northwest 46th Street,Supermarkets
PCC,47.57752326,-122.3870798,2749 California Avenue Southwest 98116,Supermarkets
Grocery Outlet,47.7216444,-122.2952057,3020 Northeast 127th Street 98125,Supermarkets
Whole Foods Market,47.6751275,-122.316204,1026 Northeast 64th Street 98115,Supermarkets
Town & Country,47.7426683,-122.349859,15505 Westminster Way North 98133,Supermarkets
QFC,47.5612845,-122.3850454,,Supermarkets
QFC,47.6246921,-122.3472754,500 Mercer Street 98109,Supermarkets
PCC,47.6499533,-122.3508881,600 North 34th Street 98103,Supermarkets
Trader Joe's,47.6626473,-122.317644,4555 Roosevelt Way Northeast 98105,Supermarkets
QFC,47.6622402,-122.296441,2746 Northeast 45th Street 98105,Supermarkets
QFC,47.6224273,-122.3214738,417 Broadway East 98102,Supermarkets
Uwajimaya,47.596843,-122.327043,,Supermarkets
View Ridge PCC,47.6761289,-122.284355,6514 40th Avenue Northeast 98115,Supermarkets
Trader Joe's,47.6157986,-122.3100354,,Supermarkets
Whole Foods Market,47.6183162,-122.3381763,2200 Westlake Avenue 98121,Supermarkets
Metropolitan Market,47.6247135,-122.3551326,100 Mercer Street 98109,Supermarkets
Island Pacific,47.547142,-122.2847855,,Supermarkets
QFC,47.5792192,-122.2998444,,Supermarkets
Whole Foods Market,47.6369803,-122.3769082,2001 15th Avenue West 98119,Supermarkets
H Mart,47.6588997,-122.313035,4216 University Way Northeast 98105,Supermarkets
Beacon Hill Market,47.580873,-122.3132425,2500 15th Avenue South 98144,Supermarkets
Oriental Mart,47.6089213,-122.3407486,1506 Pike Place 98101,Supermarkets
PCC Community Markets,47.6090875,-122.3352648,1320 4th Avenue 98101,Supermarkets
Golden Hong Market,47.5978028,-122.3235839,518 7th Avenue South 98104,Supermarkets
Dong Hing Market,47.5990041,-122.3194034,1001 South Jackson Street 98104,Supermarkets
Cash & Carry,47.7247284,-122.3417772,13102 Stone Avenue North 98133,Supermarkets
Asian Family Market,47.7248044,-122.3433535,13200 Aurora Avenue North 98133,Supermarkets
QFC,47.7333469,-122.310498,1531 Northeast 145th Street 98155,Supermarkets
QFC,47.6706609,-122.387274,,Supermarkets
Trader Joe's,47.6365319,-122.3567138,1916 Queen Anne Avenue North 98109,Supermarkets
PCC,47.6803721,-122.3235175,450 Northeast 71st Street 98115,Supermarkets
Mekong Rainier Supermarket,47.5728293,-122.2934131,,Supermarkets
Hau Hau Market,47.5986055,-122.3168144,,Supermarkets
Lam's Seafood Market,47.5980864,-122.316335,1221 South King Street 98144,Supermarkets
Ba Miền Seafood Market,47.5391664,-122.283133,6951 Martin Luther King Junior Way South 98118,Supermarkets
Hung Long Asian Market,47.5142643,-122.3534665,,Supermarkets
Phnom Khiev Supermarket,47.5142703,-122.3553378,9841 16th Avenue Southwest 98106,Supermarkets
QFC,47.6138791,-122.3210828,1401 Broadway 98122,Supermarkets
District Market,47.6558026,-122.313542,1315 Northeast Campus Parkway 98105,Supermarkets
PCC,47.5589369,-122.2868536,3610 South Edmunds Street 98118,Supermarkets
Stockbox First Hill Grocery,47.6055194,-122.3244163,901 James Street,Supermarkets
Amazon Fresh,47.5800166,-122.335337,,Supermarkets
Trader Joe's,47.6625657,-122.3742266,4609 14th Avenue Northwest 98107,Supermarkets
Whole Foods Market,47.6113428,-122.3210619,1001 Broadway 98122,Supermarkets
H Mart,47.6103391,-122.3401939,1601 2nd Avenue 98101,Supermarkets
Whole Foods Market,47.5608948,-122.3819456,,Supermarkets
Amazon Go Grocery,47.6142939,-122.3239636,610 East Pike Street 98122,Supermarkets
PCC,47.6131191,-122.3029763,2230 East Union Street 98122,Supermarkets
M2M Mart,47.6196604,-122.320645,,Supermarkets
Amazon Fresh,47.5989972,-122.3019607,2301 South Jackson Street 98144,Supermarkets
Amazon Fresh,47.725371,-122.3466737,13201 Aurora Avenue North 98133,Supermarkets
Ken's Market,47.6397975,-122.36455,2400 6th Avenue West Seattle 98119,Supermarkets
Ken's Market,47.6815945,-122.3555196,7231 Phinney Avenue North Seattle 98103,Supermarkets
QFC,47.7289297,-122.243214,,Supermarkets
Metropolitan Market,47.5853463,-122.2357604,,Supermarkets
QFC,47.5850259,-122.2329051,7823 Southeast 28th Street 98040,Supermarkets
QFC,47.5410702,-122.2260527,,Supermarkets
Safeway,47.4890662,-122.3357947,12725 1st Avenue South Burien 98168,Supermarkets
Market Guadalupe,47.4878416,-122.3488751,1111 Southwest 128th Street Burien 98146-3128,Supermarkets
Super Saver Foods,47.508047,-122.3542446,10616 16th Avenue Southwest Seattle 98146,Supermarkets
Safeway,47.66430851,-122.3139677,"4732 Brooklyn Ave NE, Seattle, WA 98105",Supermarkets
Basil Viet Kitchen,47.6554532,-122.313141,4002 University Way Northeast Seattle 98105,Restaurants
Beth's Cafe,47.6821453,-122.344708,7311 Aurora Avenue North Seattle 98103,Restaurants
Luna Park Cafe,47.5706768,-122.3710361,2918 Southwest Avalon Way Seattle 98126,Restaurants
Bonjour Việt Nam,47.5626236,-122.3869793,4509 California Avenue Southwest ,Restaurants
Maharaja Cuisine of India,47.5616219,-122.3865536,4542 California Avenue Southwest Seattle 98116,Restaurants
Easy Street Cafe,47.5613144,-122.3869904,4557 California Avenue Southwest Seattle 98116,Restaurants
Matador,47.5615325,-122.3865474,4546 California Avenue Southwest Seattle 98116,Restaurants
Alki Cafe,47.5790228,-122.4104377,2726 Alki Avenue Southwest Seattle ,Restaurants
New Luck Toy,47.550119,-122.3873209,5905 California Avenue Southwest Seattle 98136,Restaurants
Pink Salt,47.6394257,-122.4006017,3321 West McGraw Street Seattle 98199,Restaurants
Nikos Gyros,47.6392646,-122.3985109,2231 32nd Avenue West Seattle 98199,Restaurants
Kinnaree,47.639426,-122.4001996,3311 West McGraw Street Seattle 98199,Restaurants
El Ranchon,47.6396937,-122.4019686,3416 West McGraw Street Seattle 98199,Restaurants
Gim Wah,47.6396968,-122.4020842,3418 West McGraw Street Seattle 98199,Restaurants
Slice Box Pizza,47.6394209,-122.399035,3213 West McGraw Street Seattle 98199,Restaurants
Queen Margherita,47.639223,-122.3976471,3111 West McGraw Street Seattle 98199,Restaurants
Soprano's Pizza,47.639709,-122.398783,3208 West McGraw Street Seattle 98199,Restaurants
Ichiro Sushi & Teriyaki,47.640667,-122.3981604,2434 32nd Avenue West Seattle 98199,Restaurants
Mondello Ristorante,47.6402279,-122.399799,2425 33rd Avenue West Seattle 98199,Restaurants
Snappy Dragon,47.6936176,-122.3177709,8917 Roosevelt Way Northeast Seattle 98115,Restaurants
Flying Squirrel Pizza,47.6892671,-122.3228006,98115,Restaurants
Himitsu Teriyaki,47.6869038,-122.3124639,8014 Lake City Way Northeast Seattle 98115,Restaurants
Mojito,47.6843961,-122.3160344,7545 Lake City Way Northeast Seattle 98115,Restaurants
Anita's Mexican Food,47.7189205,-122.3453216,12245 Aurora Avenue North Seattle 98133,Restaurants
Smile Thai Cuisine,47.6755809,-122.3256061,6411 Latona Avenue Northeast Seattle 98115,Restaurants
Red Mill Burgers,47.6778315,-122.3546696,312 North 67th Street Seattle 98103,Restaurants
Kisaku Sushi,47.668582,-122.3331798,2101 North 55th Street Seattle 98103,Restaurants
Restaurant Christine,47.6688385,-122.3318278,2227 North 56th Street ,Restaurants
El Sombrero,47.5409723,-122.2247588,,Restaurants
Vatsana Thai Restaurant,47.5226736,-122.3655616,9025 25th Avenue Southwest Seattle 98106,Restaurants
Noodle Bar,47.6224942,-122.3302536,422 Yale Avenue North ,Restaurants
Sunny Hill,47.6903909,-122.3979721,3127 Northwest 85th Street Seattle 98117,Restaurants
Dick's Drive-In - Holman Road,47.6964379,-122.371682,9208 Holman Road Northwest ,Restaurants
Tacos and Beer,47.6968423,-122.3722309,,Restaurants
Brimmer & Heeltap,47.6685259,-122.3631168,,Restaurants
Super China Buffet,47.7409021,-122.3493107,15323 Westminster Way North ,Restaurants
Italio,47.6903568,-122.361061,305 Northwest 85th Street Seattle 98117,Restaurants
Georgia's Greek Restaurant & Deli,47.6871861,-122.3128724,8007 Lake City Way Northeast Seattle 98115,Restaurants
Taqueria Tequila,47.6903392,-122.3608285,301 Northwest 85th Street Seattle 98117,Restaurants
Las Margaritas,47.7339391,-122.3445722,,Restaurants
Pagliacci Pizza,47.6414613,-122.319895,,Restaurants
Manna Teriyaki,47.7099298,-122.3002582,,Restaurants
Luciano's Pizza,47.7100327,-122.3001777,,Restaurants
Maggie Bluffs,47.6302742,-122.3911337,2601 West Marina Place Seattle 98199,Restaurants
Nori Presto,47.7191381,-122.3121619,,Restaurants
Secret Fort,47.6612712,-122.3344526,1911 North 45th Street Seattle 98103,Restaurants
Palisade,47.6303796,-122.3915164,2601 West Marina Place Seattle 98199,Restaurants
Chef King,47.6904007,-122.357756,101 North 85th Street Seattle 98103,Restaurants
Sailfish,47.6685144,-122.385856,2221 Northwest Market Street Seattle 98107,Restaurants
Tasty Pot,47.6616178,-122.3133074,4509 University Way Northeast Seattle 98105,Restaurants
Taste of Xi'an,47.6619742,-122.3133017,4523 University Way Northeast Seattle 98105,Restaurants
Cafe Piccolo,47.6968584,-122.3173709,,Restaurants
Via Tribunali - Capitol Hill,47.6139546,-122.319989,913 East Pike Street Seattle 98122,Restaurants
Bengal Tiger,47.6761594,-122.3175071,6509 Roosevelt Way Northeast Seattle 98115,Restaurants
Costa's,47.6629735,-122.3132817,4559 University Way Northeast Seattle 98105,Restaurants
,47.6627283,-122.3132694,4549 University Way Northeast Seattle 98105,Restaurants
Red Pepper,47.662607,-122.3132864,4545 University Way Northeast Seattle 98105,Restaurants
Thai Tom,47.6625207,-122.3132911,4543 University Way Northeast Seattle 98105,Restaurants
Aladdin Falafel,47.6624595,-122.3132934,4541 University Way Northeast Seattle 98105,Restaurants
Garam Masala,47.6624056,-122.3132972,4537b University Way Northeast Seattle 98105,Restaurants
Just Burgers,47.6616455,-122.3129247,4510 University Way Northeast Seattle 98105,Restaurants
Pandas Noodle Bar,47.661549,-122.312966,4508 University Way Northeast Seattle 98105,Restaurants
Marination Ma Kai,47.5894296,-122.3805678,1660 Harbor Avenue Southwest Seattle 98126,Restaurants
Salty's,47.586573,-122.3763922,,Restaurants
Royal India Grill,47.5817204,-122.3863302,,Restaurants
Arthur's,47.5825553,-122.3866909,2311 California Avenue Southwest Seattle 98116,Restaurants
Mission,47.5822532,-122.386715,,Restaurants
Yen Wor Village,47.5828828,-122.3862617,,Restaurants
Cactus - Alki Beach,47.5782717,-122.4130535,2820 Alki Avenue Southwest ,Restaurants
Big Mario's Pizza,47.6139817,-122.318823,1009 East Pike Street Seattle 98122,Restaurants
In Bocca al Lupo,47.6591419,-122.350174,4303 Fremont Avenue North Seattle 98103,Restaurants
Thai Taste,47.6023199,-122.332846,601 2nd Avenue Seattle 98104,Restaurants
Chuck's Hole in the Wall Barbecue,47.6025012,-122.331723,215 James Street Seattle 98104,Restaurants
Pho Than Brothers,47.6238838,-122.3211171,527 Broadway East Seattle 98102,Restaurants
Poquitos,47.6142354,-122.319201,1000 East Pike Street Seattle 98122,Restaurants
J&M Cafe,47.6007703,-122.3344084,201 1st Avenue South Seattle 98104,Restaurants
Zapverr,47.6499101,-122.3495767,3410 Fremont Avenue North Seattle 98103,Restaurants
Pho Than Brothers,47.649881,-122.3501408,626 North 34th Street Seattle 98103,Restaurants
Kaosamai,47.6523605,-122.3540934,404 North 36th Street Seattle 98103,Restaurants
Roxy's Diner,47.6520205,-122.3527429,462 North 36th Street 98103,Restaurants
Dragster,47.6521396,-122.353006,456 North 36th Street Seattle 98103,Restaurants
Almanqal Mediterranean Grill,47.6614949,-122.3369848,1712 North 45th Street Seattle 98103,Restaurants
45th Vegetarian Thai,47.6615191,-122.3367749,1718 North 45th Street Seattle 98103,Restaurants
Pam's Kitchen,47.6612777,-122.3366054,1715 North 45th Street Seattle 98103,Restaurants
Harvest Beat,47.6612786,-122.3368004,1711 North 45th Street Seattle 98103,Restaurants
Eve,47.6496345,-122.3493242,704 North 34th Street 98103,Restaurants
Chinook's at Salmon Bay,47.6555838,-122.3811821,1900 West Nickerson Street Seattle 98119,Restaurants
China Harbor,47.6374143,-122.3399752,2040 Westlake Avenue North 98109,Restaurants
Sushi Tokyo,47.6745277,-122.3175688,6311 Roosevelt Way Northeast Seattle 98115,Restaurants
Olympic Pizza & Pasta,47.6754261,-122.3175098,6413 Roosevelt Way Northeast ,Restaurants
Royal Palm,47.6756157,-122.3175045,6417 Roosevelt Way Northeast Seattle 98115,Restaurants
Dreamland,47.6500149,-122.351523,3401 Evanston Avenue North Seattle 98103,Restaurants
Made in House,47.6508415,-122.35025,3508 Fremont Place North Seattle 98103,Restaurants
Local Tide,47.6519456,-122.3538952,403 North 36th Street Seattle 98103,Restaurants
Alstadt,47.600512,-122.3343914,209 1st Avenue South Seattle 98104,Restaurants
HSun,47.600165,-122.3344018,221 1st Avenue South Seattle 98104,Restaurants
Aladdin Gyro-cery & Deli,47.6579925,-122.3133866,4139 University Way Northeast Seattle 98105,Restaurants
Saigon Deli,47.6581295,-122.3142098,4142 Brooklyn Avenue Northeast Seattle 98105,Restaurants
Pho Shizzle Too!,47.6593411,-122.3133401,4235 University Way Northeast Seattle 98105,Restaurants
Call A Chicken,47.6594156,-122.313348,4237 University Way Northeast Seattle 98105,Restaurants
Bugi's,47.6595358,-122.3133282,4241 University Way Northeast Seattle 98105,Restaurants
Samurai Noodle,47.6579661,-122.3130645,4138 University Way Northeast Seattle 98105,Restaurants
Núodle Express,47.6596112,-122.3133326,4245 University Way Northeast Seattle 98105,Restaurants
Pho Than Brothers,47.6586007,-122.3133668,4207 University Way Northeast Seattle 98105,Restaurants
BB's Teriyaki Grill,47.6589856,-122.313368,4221 University Way Northeast Seattle 98105,Restaurants
Mama's Viet Kitchen,47.658756,-122.3133633,4213 University Way Northeast Seattle 98105,Restaurants
University Teriyaki and Bakery,47.6571914,-122.313075,4108 University Way Northeast Seattle 98105,Restaurants
Henry's Taiwan Kitchen,47.6569986,-122.31417,4106 Brooklyn Avenue Northeast Seattle 98105,Restaurants
Guanaco's Tacos & Pupuseria,47.6571228,-122.3141689,4106 Brooklyn Avenue Northeast Seattle 98105,Restaurants
Green House,47.6572231,-122.3141679,4106 Brooklyn Avenue Northeast Seattle 98105,Restaurants
Shultzy's Bar And Grill,47.6573018,-122.3130587,4114 University Way Northeast Seattle 98105,Restaurants
Thai65,47.6587941,-122.3130382,4214 University Way Northeast Seattle 98105,Restaurants
GuǒC100,47.6569977,-122.313987,4106 Brooklyn Avenue Northeast Seattle 98105,Restaurants
Moonlight Cafe,47.5989882,-122.3067239,1919 South Jackson Street Seattle 98144,Restaurants
Bryant Corner Cafe and Bakery,47.6759094,-122.2931958,3118 Northeast 65th Street 98115,Restaurants
Jamjuree,47.6234297,-122.3128279,509 15th Avenue East Seattle 98112,Restaurants
Coastal Kitchen,47.6227783,-122.312814,429 15th Avenue East Seattle 98112,Restaurants
Rapport,47.6253026,-122.3210851,700 Broadway East Seattle 98102,Restaurants
OddFellows Cafe,47.6149543,-122.31965,1525 10th Avenue Seattle 98122,Restaurants
Wedgwood Broiler,47.6893214,-122.2902166,,Restaurants
Fremont Bowl,47.659079,-122.3498788,4262 Fremont Avenue North Seattle 98103,Restaurants
Kamakura Japanese Cuisine,47.6511647,-122.349716,3520 Fremont Avenue North Seattle 98103,Restaurants
Ian’s Pizza,47.6509565,-122.3497063,3510 Fremont Avenue North Seattle 98103,Restaurants
Esters Enoteca,47.6501282,-122.3496228,3416 Fremont Avenue North Seattle 98103,Restaurants
Sizzling Pot King,47.5984672,-122.32452,660 South King Street Seattle 98104,Restaurants
Maximilien,47.6083167,-122.3408538,81 A Pike Street Seattle 98101,Restaurants
Beyond The Bowl,47.7197764,-122.2946574,12518 Lake City Way Northeast Seattle 98125,Restaurants
Lucy's Corner,47.6148308,-122.3452442,,Restaurants
Sinbad Express,47.6512525,-122.3507589,3526 Fremont Place North Seattle 98103,Restaurants
Kwanjai Thai,47.6516655,-122.3526101,469 North 36th Street Seattle 98103,Restaurants
Rasai,47.6516224,-122.3525145,473 North 36th Street Seattle 98103,Restaurants
Nuna Ramen,47.6515915,-122.3522739,501 North 36th Street Seattle 98103,Restaurants
Regent Bakery and Café,47.615416,-122.3140811,1404 East Pine Street Seattle 98122,Restaurants
Cantinetta,47.6518718,-122.3361496,3650 Wallingford Avenue North 98103,Restaurants
